history_id,opportunity_id,from_stage,to_stage,changed_at,changed_by_user_id
H000769,O10240,2-Qualified,3-Proposal,2024-05-02 00:00:00,U208
H000770,O10240,3-Proposal,6-Closed Lost,2024-07-01 00:00:00,U208
H000771,O10241,,2-Qualified,2025-02-14 00:00:00,U217
H000772,O10241,2-Qualified,6-Closed Lost,2025-02-17 00:00:00,U217
H000773,O10243,,2-Qualified,2025-08-12 00:00:00,U213
H000774,O10243,2-Qualified,3-Proposal,2025-09-26 00:00:00,U213
H000775,O10243,3-Proposal,6-Closed Lost,2025-11-07 00:00:00,U213
H000776,O10245,,2-Qualified,2026-05-04 00:00:00,U213
H000777,O10245,2-Qualified,3-Proposal,2026-05-24 00:00:00,U213
H000778,O10245,3-Proposal,4-Negotiation,2026-06-28 00:00:00,U213
H000779,O10246,,2-Qualified,2026-03-19 00:00:00,U208
H000780,O10246,2-Qualified,3-Proposal,2026-04-20 00:00:00,U208
H000781,O10246,3-Proposal,4-Negotiation,2026-05-13 00:00:00,U208
H000782,O10246,4-Negotiation,6-Closed Lost,2026-06-06 00:00:00,U208
H000783,O10247,,2-Qualified,2024-11-09 00:00:00,U223
H000784,O10247,2-Qualified,6-Closed Lost,2024-12-11 00:00:00,U223
H000785,O10248,,2-Qualified,2024-09-23 00:00:00,U209
H000786,O10248,2-Qualified,3-Proposal,2024-10-07 00:00:00,U209
H000787,O10248,3-Proposal,6-Closed Lost,2024-10-25 00:00:00,U209
H000788,O10249,,2-Qualified,2025-04-01 00:00:00,U219
H000789,O10249,2-Qualified,3-Proposal,2025-04-27 00:00:00,U219
H000790,O10249,3-Proposal,4-Negotiation,2025-05-19 00:00:00,U219
H000791,O10249,4-Negotiation,5-Closed Won,2025-06-18 00:00:00,U219
H000792,O10251,,2-Qualified,2025-04-01 00:00:00,U210
H000793,O10251,2-Qualified,3-Proposal,2025-04-07 00:00:00,U210
H000794,O10251,3-Proposal,4-Negotiation,2025-04-16 00:00:00,U210
H000795,O10251,4-Negotiation,6-Closed Lost,2025-04-22 00:00:00,U210
H000796,O10252,,2-Qualified,2026-08-28 00:00:00,U200
H000797,O10252,2-Qualified,3-Proposal,2026-10-09 00:00:00,U200
H000798,O10253,,2-Qualified,2024-10-31 00:00:00,U211
H000799,O10253,2-Qualified,3-Proposal,2024-11-13 00:00:00,U211
H000800,O10253,3-Proposal,6-Closed Lost,2024-11-29 00:00:00,U211
H000801,O10254,,2-Qualified,2026-02-14 00:00:00,U217
H000802,O10254,2-Qualified,3-Proposal,2026-03-19 00:00:00,U217
H000803,O10254,3-Proposal,4-Negotiation,2026-05-06 00:00:00,U217
H000804,O10254,4-Negotiation,5-Closed Won,2026-05-18 00:00:00,U217
H000805,O10255,,2-Qualified,2026-08-01 00:00:00,U209
H000806,O10256,,2-Qualified,2024-03-22 00:00:00,U223
H000807,O10256,2-Qualified,3-Proposal,2024-04-09 00:00:00,U223
H000808,O10256,3-Proposal,4-Negotiation,2024-04-28 00:00:00,U223
H000809,O10256,4-Negotiation,5-Closed Won,2024-05-14 00:00:00,U223
H000810,O10257,,2-Qualified,2024-04-01 00:00:00,U222
H000811,O10257,2-Qualified,3-Proposal,2024-04-22 00:00:00,U222
H000812,O10257,3-Proposal,4-Negotiation,2024-05-09 00:00:00,U222
H000813,O10257,4-Negotiation,5-Closed Won,2024-05-24 00:00:00,U222
H000814,O10258,,2-Qualified,2025-10-06 00:00:00,U215
H000815,O10258,2-Qualified,3-Proposal,2025-11-23 00:00:00,U215
H000816,O10258,3-Proposal,6-Closed Lost,2025-12-10 00:00:00,U215
H000817,O10260,,2-Qualified,2025-09-28 00:00:00,U223
H000818,O10260,2-Qualified,6-Closed Lost,2025-10-08 00:00:00,U223
H000819,O10261,,2-Qualified,2024-07-23 00:00:00,U203
H000820,O10261,2-Qualified,3-Proposal,2024-08-05 00:00:00,U203
H000821,O10261,3-Proposal,4-Negotiation,2024-08-13 00:00:00,U203
H000822,O10261,4-Negotiation,5-Closed Won,2024-08-21 00:00:00,U203
H000823,O10262,,2-Qualified,2024-09-04 00:00:00,U222
H000824,O10262,2-Qualified,3-Proposal,2024-10-12 00:00:00,U222
H000825,O10262,3-Proposal,4-Negotiation,2024-11-19 00:00:00,U222
H000826,O10262,4-Negotiation,5-Closed Won,2024-12-11 00:00:00,U222
H000827,O10263,,2-Qualified,2026-07-28 00:00:00,U203
H000828,O10264,,2-Qualified,2026-03-26 00:00:00,U223
H000829,O10264,2-Qualified,6-Closed Lost,2026-05-10 00:00:00,U223
H000830,O10265,,2-Qualified,2024-08-23 00:00:00,U212
H000831,O10265,2-Qualified,3-Proposal,2024-09-20 00:00:00,U212
H000832,O10265,3-Proposal,4-Negotiation,2024-10-19 00:00:00,U212
H000833,O10265,4-Negotiation,6-Closed Lost,2024-11-09 00:00:00,U212
H000834,O10266,,2-Qualified,2026-02-15 00:00:00,U218
H000835,O10266,2-Qualified,6-Closed Lost,2026-03-31 00:00:00,U218
H000836,O10267,,2-Qualified,2024-03-18 00:00:00,U213
H000837,O10267,2-Qualified,3-Proposal,2024-03-29 00:00:00,U213
H000838,O10267,3-Proposal,4-Negotiation,2024-04-17 00:00:00,U213
H000839,O10267,4-Negotiation,6-Closed Lost,2024-04-28 00:00:00,U213
H000840,O10268,,2-Qualified,2025-07-27 00:00:00,U202
H000841,O10268,2-Qualified,3-Proposal,2025-08-04 00:00:00,U202
H000842,O10268,3-Proposal,4-Negotiation,2025-08-20 00:00:00,U202
H000843,O10268,4-Negotiation,5-Closed Won,2025-09-01 00:00:00,U202
H000844,O10269,,2-Qualified,2025-09-05 00:00:00,U209
H000845,O10269,2-Qualified,6-Closed Lost,2025-10-05 00:00:00,U209
H000846,O10271,,2-Qualified,2024-07-08 00:00:00,U218
H000847,O10271,2-Qualified,3-Proposal,2024-08-14 00:00:00,U218
H000848,O10271,3-Proposal,4-Negotiation,2024-09-05 00:00:00,U218
H000849,O10271,4-Negotiation,6-Closed Lost,2024-10-03 00:00:00,U218
H000850,O10272,,2-Qualified,2025-06-11 00:00:00,U220
H000851,O10272,2-Qualified,3-Proposal,2025-06-22 00:00:00,U220
H000852,O10272,3-Proposal,4-Negotiation,2025-07-06 00:00:00,U220
H000853,O10272,4-Negotiation,6-Closed Lost,2025-07-13 00:00:00,U220
H000854,O10273,,2-Qualified,2026-01-02 00:00:00,U207
H000855,O10273,2-Qualified,3-Proposal,2026-02-06 00:00:00,U207
H000856,O10273,3-Proposal,4-Negotiation,2026-03-08 00:00:00,U207
H000857,O10273,4-Negotiation,5-Closed Won,2026-03-23 00:00:00,U207
H000858,O10274,,2-Qualified,2025-12-17 00:00:00,U212
H000859,O10274,2-Qualified,3-Proposal,2025-12-24 00:00:00,U212
H000860,O10274,3-Proposal,4-Negotiation,2025-12-29 00:00:00,U212
H000861,O10274,4-Negotiation,5-Closed Won,2026-01-07 00:00:00,U212
H000862,O10275,,2-Qualified,2025-12-08 00:00:00,U212
H000863,O10275,2-Qualified,3-Proposal,2025-12-10 00:00:00,U212
H000864,O10275,3-Proposal,4-Negotiation,2025-12-12 00:00:00,U212
H000865,O10275,4-Negotiation,5-Closed Won,2025-12-13 00:00:00,U212
H000866,O10276,,2-Qualified,2024-11-07 00:00:00,U213
H000867,O10276,2-Qualified,3-Proposal,2024-12-02 00:00:00,U213
H000868,O10276,3-Proposal,4-Negotiation,2024-12-21 00:00:00,U213
H000869,O10276,4-Negotiation,6-Closed Lost,2025-01-26 00:00:00,U213
H000870,O10277,,2-Qualified,2025-05-06 00:00:00,U213
H000871,O10277,2-Qualified,3-Proposal,2025-05-26 00:00:00,U213
H000872,O10277,3-Proposal,4-Negotiation,2025-06-15 00:00:00,U213
H000873,O10277,4-Negotiation,5-Closed Won,2025-07-07 00:00:00,U213
H000874,O10278,,2-Qualified,2025-02-16 00:00:00,U221
H000875,O10278,2-Qualified,3-Proposal,2025-03-27 00:00:00,U221
H000876,O10278,3-Proposal,4-Negotiation,2025-05-10 00:00:00,U221
H000877,O10278,4-Negotiation,5-Closed Won,2025-05-31 00:00:00,U221
H000878,O10279,,2-Qualified,2026-04-02 00:00:00,U210
H000879,O10279,2-Qualified,3-Proposal,2026-04-12 00:00:00,U210
H000880,O10279,3-Proposal,4-Negotiation,2026-04-27 00:00:00,U210
H000881,O10279,4-Negotiation,5-Closed Won,2026-05-05 00:00:00,U210
H000882,O10280,,2-Qualified,2025-12-05 00:00:00,U217
H000883,O10280,2-Qualified,3-Proposal,2025-12-17 00:00:00,U217
H000884,O10280,3-Proposal,6-Closed Lost,2026-01-04 00:00:00,U217
H000885,O10282,,2-Qualified,2025-08-03 00:00:00,U211
H000886,O10282,2-Qualified,3-Proposal,2025-08-11 00:00:00,U211
H000887,O10282,3-Proposal,4-Negotiation,2025-08-24 00:00:00,U211
H000888,O10282,4-Negotiation,5-Closed Won,2025-09-02 00:00:00,U211
H000889,O10283,,2-Qualified,2026-04-30 00:00:00,U222
H000890,O10283,2-Qualified,6-Closed Lost,2026-05-24 00:00:00,U222
H000891,O10285,,2-Qualified,2025-01-25 00:00:00,U200
H000892,O10285,2-Qualified,6-Closed Lost,2025-02-17 00:00:00,U200
H000893,O10286,,2-Qualified,2025-10-14 00:00:00,U217
H000894,O10286,2-Qualified,3-Proposal,2025-10-25 00:00:00,U217
H000895,O10286,3-Proposal,4-Negotiation,2025-11-08 00:00:00,U217
H000896,O10286,4-Negotiation,6-Closed Lost,2025-11-21 00:00:00,U217
H000897,O10287,,2-Qualified,2024-10-09 00:00:00,U205
H000898,O10287,2-Qualified,6-Closed Lost,2024-11-25 00:00:00,U205
H000899,O10288,,2-Qualified,2024-07-29 00:00:00,U217
H000900,O10288,2-Qualified,3-Proposal,2024-07-31 00:00:00,U217
H000901,O10288,3-Proposal,4-Negotiation,2024-08-04 00:00:00,U217
H000902,O10288,4-Negotiation,6-Closed Lost,2024-08-06 00:00:00,U217
H000903,O10290,,2-Qualified,2024-09-06 00:00:00,U211
H000904,O10290,2-Qualified,3-Proposal,2024-09-12 00:00:00,U211
H000905,O10290,3-Proposal,4-Negotiation,2024-09-21 00:00:00,U211
H000906,O10290,4-Negotiation,5-Closed Won,2024-10-01 00:00:00,U211
H000907,O10291,,2-Qualified,2025-04-17 00:00:00,U214
H000908,O10291,2-Qualified,3-Proposal,2025-04-27 00:00:00,U214
H000909,O10291,3-Proposal,4-Negotiation,2025-05-09 00:00:00,U214
H000910,O10291,4-Negotiation,5-Closed Won,2025-05-16 00:00:00,U214
H000911,O10292,,2-Qualified,2025-09-06 00:00:00,U211
H000912,O10292,2-Qualified,3-Proposal,2025-09-08 00:00:00,U211
H000913,O10292,3-Proposal,4-Negotiation,2025-09-10 00:00:00,U211
H000914,O10292,4-Negotiation,5-Closed Won,2025-09-13 00:00:00,U211
H000915,O10293,,2-Qualified,2024-11-29 00:00:00,U208
H000916,O10293,2-Qualified,3-Proposal,2024-12-29 00:00:00,U208
H000917,O10293,3-Proposal,4-Negotiation,2025-02-02 00:00:00,U208
H000918,O10293,4-Negotiation,5-Closed Won,2025-02-19 00:00:00,U208
H000919,O10294,,2-Qualified,2024-11-03 00:00:00,U220
H000920,O10294,2-Qualified,3-Proposal,2025-02-02 00:00:00,U220
H000921,O10294,3-Proposal,6-Closed Lost,2025-03-28 00:00:00,U220
H000922,O10296,,2-Qualified,2025-11-13 00:00:00,U210
H000923,O10296,2-Qualified,6-Closed Lost,2026-01-01 00:00:00,U210
H000924,O10297,,2-Qualified,2026-03-27 00:00:00,U203
H000925,O10297,2-Qualified,3-Proposal,2026-05-01 00:00:00,U203
H000926,O10297,3-Proposal,4-Negotiation,2026-05-24 00:00:00,U203
H000927,O10297,4-Negotiation,6-Closed Lost,2026-06-19 00:00:00,U203
H000928,O10298,,2-Qualified,2024-09-01 00:00:00,U204
H000929,O10298,2-Qualified,3-Proposal,2024-09-24 00:00:00,U204
H000930,O10298,3-Proposal,4-Negotiation,2024-10-22 00:00:00,U204
H000931,O10298,4-Negotiation,5-Closed Won,2024-11-08 00:00:00,U204
H000932,O10299,,2-Qualified,2024-10-26 00:00:00,U210
H000933,O10299,2-Qualified,6-Closed Lost,2024-11-18 00:00:00,U210
H000934,O10300,,2-Qualified,2026-07-12 00:00:00,U209
H000935,O10301,,2-Qualified,2024-10-25 00:00:00,U211
H000936,O10301,2-Qualified,3-Proposal,2024-11-16 00:00:00,U211
H000937,O10301,3-Proposal,6-Closed Lost,2024-12-21 00:00:00,U211
H000938,O10302,,2-Qualified,2025-08-22 00:00:00,U214
H000939,O10302,2-Qualified,3-Proposal,2025-09-02 00:00:00,U214
H000940,O10302,3-Proposal,4-Negotiation,2025-09-15 00:00:00,U214
H000941,O10302,4-Negotiation,5-Closed Won,2025-09-18 00:00:00,U214
H000942,O10303,,2-Qualified,2026-07-31 00:00:00,U214
H000943,O10304,,2-Qualified,2024-10-15 00:00:00,U206
H000944,O10304,2-Qualified,3-Proposal,2024-10-28 00:00:00,U206
H000945,O10304,3-Proposal,4-Negotiation,2024-11-12 00:00:00,U206
H000946,O10304,4-Negotiation,5-Closed Won,2024-11-19 00:00:00,U206
H000947,O10305,,2-Qualified,2024-10-25 00:00:00,U216
H000948,O10305,2-Qualified,6-Closed Lost,2024-11-28 00:00:00,U216
H000949,O10307,,2-Qualified,2026-01-04 00:00:00,U223
H000950,O10307,2-Qualified,3-Proposal,2026-01-23 00:00:00,U223
H000951,O10307,3-Proposal,4-Negotiation,2026-02-11 00:00:00,U223
H000952,O10307,4-Negotiation,5-Closed Won,2026-02-25 00:00:00,U223
H000953,O10308,,2-Qualified,2025-06-19 00:00:00,U201
H000954,O10308,2-Qualified,3-Proposal,2025-06-21 00:00:00,U201
H000955,O10308,3-Proposal,6-Closed Lost,2025-06-23 00:00:00,U201
H000956,O10309,,2-Qualified,2025-07-25 00:00:00,U220
H000957,O10309,2-Qualified,3-Proposal,2025-08-28 00:00:00,U220
H000958,O10309,3-Proposal,6-Closed Lost,2025-09-14 00:00:00,U220
H000959,O10311,,2-Qualified,2026-02-19 00:00:00,U210
H000960,O10311,2-Qualified,3-Proposal,2026-02-20 00:00:00,U210
H000961,O10311,3-Proposal,4-Negotiation,2026-02-21 00:00:00,U210
H000962,O10311,4-Negotiation,5-Closed Won,2026-02-23 00:00:00,U210
H000963,O10312,,2-Qualified,2025-04-03 00:00:00,U206
H000964,O10312,2-Qualified,3-Proposal,2025-05-18 00:00:00,U206
H000965,O10312,3-Proposal,4-Negotiation,2025-06-15 00:00:00,U206
H000966,O10312,4-Negotiation,5-Closed Won,2025-07-27 00:00:00,U206
H000967,O10313,,2-Qualified,2024-09-12 00:00:00,U208
H000968,O10313,2-Qualified,3-Proposal,2024-10-03 00:00:00,U208
H000969,O10313,3-Proposal,4-Negotiation,2024-10-30 00:00:00,U208
H000970,O10313,4-Negotiation,6-Closed Lost,2024-11-06 00:00:00,U208
H000971,O10314,,2-Qualified,2024-08-17 00:00:00,U214
H000972,O10314,2-Qualified,3-Proposal,2024-09-17 00:00:00,U214
H000973,O10314,3-Proposal,4-Negotiation,2024-10-22 00:00:00,U214
H000974,O10314,4-Negotiation,5-Closed Won,2024-10-30 00:00:00,U214
H000975,O10315,,2-Qualified,2024-10-20 00:00:00,U214
H000976,O10315,2-Qualified,3-Proposal,2024-11-09 00:00:00,U214
H000977,O10315,3-Proposal,4-Negotiation,2024-12-02 00:00:00,U214
H000978,O10315,4-Negotiation,6-Closed Lost,2024-12-18 00:00:00,U214
H000979,O10316,,2-Qualified,2025-11-27 00:00:00,U222
H000980,O10316,2-Qualified,3-Proposal,2025-12-14 00:00:00,U222
H000981,O10316,3-Proposal,4-Negotiation,2026-01-12 00:00:00,U222
H000982,O10316,4-Negotiation,6-Closed Lost,2026-02-02 00:00:00,U222
H000983,O10317,,2-Qualified,2025-05-05 00:00:00,U217
H000984,O10317,2-Qualified,3-Proposal,2025-05-31 00:00:00,U217
H000985,O10317,3-Proposal,4-Negotiation,2025-06-25 00:00:00,U217
H000986,O10317,4-Negotiation,5-Closed Won,2025-07-08 00:00:00,U217
H000987,O10318,,2-Qualified,2026-05-02 00:00:00,U213
H000988,O10318,2-Qualified,3-Proposal,2026-05-22 00:00:00,U213
H000989,O10318,3-Proposal,6-Closed Lost,2026-06-07 00:00:00,U213
H000990,O10319,,2-Qualified,2024-09-14 00:00:00,U215
H000991,O10319,2-Qualified,3-Proposal,2024-10-03 00:00:00,U215
H000992,O10319,3-Proposal,6-Closed Lost,2024-10-19 00:00:00,U215
H000993,O10320,,2-Qualified,2025-10-01 00:00:00,U219
H000994,O10320,2-Qualified,3-Proposal,2025-10-23 00:00:00,U219
H000995,O10320,3-Proposal,4-Negotiation,2025-11-29 00:00:00,U219
H000996,O10320,4-Negotiation,5-Closed Won,2025-12-24 00:00:00,U219
H000997,O10321,,2-Qualified,2026-03-07 00:00:00,U206
H000998,O10321,2-Qualified,6-Closed Lost,2026-04-10 00:00:00,U206
H000999,O10322,,2-Qualified,2025-02-27 00:00:00,U218
H001000,O10322,2-Qualified,3-Proposal,2025-03-02 00:00:00,U218
H001001,O10322,3-Proposal,4-Negotiation,2025-03-04 00:00:00,U218
H001002,O10322,4-Negotiation,5-Closed Won,2025-03-06 00:00:00,U218
H001003,O10323,,2-Qualified,2024-05-28 00:00:00,U209
H001004,O10323,2-Qualified,3-Proposal,2024-06-04 00:00:00,U209
H001005,O10323,3-Proposal,4-Negotiation,2024-06-11 00:00:00,U209
H001006,O10323,4-Negotiation,5-Closed Won,2024-06-19 00:00:00,U209
H001007,O10324,,2-Qualified,2024-12-01 00:00:00,U208
H001008,O10324,2-Qualified,3-Proposal,2024-12-27 00:00:00,U208
H001009,O10324,3-Proposal,4-Negotiation,2025-01-19 00:00:00,U208
H001010,O10324,4-Negotiation,5-Closed Won,2025-02-21 00:00:00,U208
H001011,O10325,,2-Qualified,2024-02-23 00:00:00,U203
H001012,O10325,2-Qualified,6-Closed Lost,2024-04-07 00:00:00,U203
H001013,O10326,,2-Qualified,2026-04-13 00:00:00,U214
H001014,O10326,2-Qualified,3-Proposal,2026-04-24 00:00:00,U214
H001015,O10326,3-Proposal,4-Negotiation,2026-05-04 00:00:00,U214
H001016,O10326,4-Negotiation,5-Closed Won,2026-05-18 00:00:00,U214
H001017,O10327,,2-Qualified,2024-06-25 00:00:00,U216
H001018,O10327,2-Qualified,3-Proposal,2024-07-08 00:00:00,U216
H001019,O10327,3-Proposal,6-Closed Lost,2024-07-13 00:00:00,U216
H001020,O10329,,2-Qualified,2025-01-21 00:00:00,U214
H001021,O10329,2-Qualified,3-Proposal,2025-02-07 00:00:00,U214
H001022,O10329,3-Proposal,4-Negotiation,2025-02-25 00:00:00,U214
H001023,O10329,4-Negotiation,5-Closed Won,2025-03-05 00:00:00,U214
H001024,O10330,,2-Qualified,2024-09-05 00:00:00,U202
H001025,O10330,2-Qualified,3-Proposal,2024-10-03 00:00:00,U202
H001026,O10330,3-Proposal,6-Closed Lost,2024-10-19 00:00:00,U202
H001027,O10331,,2-Qualified,2024-02-02 00:00:00,U220
H001028,O10331,2-Qualified,3-Proposal,2024-02-07 00:00:00,U220
H001029,O10331,3-Proposal,4-Negotiation,2024-02-11 00:00:00,U220
H001030,O10331,4-Negotiation,6-Closed Lost,2024-02-14 00:00:00,U220
H001031,O10333,,2-Qualified,2026-02-04 00:00:00,U212
H001032,O10333,2-Qualified,3-Proposal,2026-02-19 00:00:00,U212
H001033,O10333,3-Proposal,4-Negotiation,2026-03-08 00:00:00,U212
H001034,O10333,4-Negotiation,5-Closed Won,2026-03-29 00:00:00,U212
H001035,O10334,,2-Qualified,2024-07-12 00:00:00,U223
H001036,O10334,2-Qualified,3-Proposal,2024-07-18 00:00:00,U223
H001037,O10334,3-Proposal,4-Negotiation,2024-07-21 00:00:00,U223
H001038,O10334,4-Negotiation,5-Closed Won,2024-07-25 00:00:00,U223
H001039,O10335,,2-Qualified,2025-05-28 00:00:00,U201
H001040,O10335,2-Qualified,3-Proposal,2025-06-20 00:00:00,U201
H001041,O10335,3-Proposal,4-Negotiation,2025-07-29 00:00:00,U201
H001042,O10335,4-Negotiation,5-Closed Won,2025-09-03 00:00:00,U201
H001043,O10336,,2-Qualified,2025-08-17 00:00:00,U220
H001044,O10336,2-Qualified,3-Proposal,2025-08-26 00:00:00,U220
H001045,O10336,3-Proposal,4-Negotiation,2025-09-03 00:00:00,U220
H001046,O10336,4-Negotiation,5-Closed Won,2025-09-15 00:00:00,U220
H001047,O10337,,2-Qualified,2025-10-31 00:00:00,U206
H001048,O10337,2-Qualified,3-Proposal,2025-11-09 00:00:00,U206
H001049,O10337,3-Proposal,6-Closed Lost,2025-11-13 00:00:00,U206
H001050,O10338,,2-Qualified,2025-01-02 00:00:00,U217
H001051,O10338,2-Qualified,3-Proposal,2025-02-10 00:00:00,U217
H001052,O10338,3-Proposal,4-Negotiation,2025-03-19 00:00:00,U217
H001053,O10338,4-Negotiation,5-Closed Won,2025-04-12 00:00:00,U217
H001054,O10339,,2-Qualified,2025-06-05 00:00:00,U202
H001055,O10339,2-Qualified,3-Proposal,2025-06-30 00:00:00,U202
H001056,O10339,3-Proposal,4-Negotiation,2025-07-21 00:00:00,U202
H001057,O10339,4-Negotiation,5-Closed Won,2025-08-13 00:00:00,U202
H001058,O10340,,2-Qualified,2024-06-26 00:00:00,U201
H001059,O10340,2-Qualified,3-Proposal,2024-07-29 00:00:00,U201
H001060,O10340,3-Proposal,4-Negotiation,2024-08-16 00:00:00,U201
H001061,O10340,4-Negotiation,5-Closed Won,2024-09-09 00:00:00,U201
H001062,O10341,,2-Qualified,2024-06-14 00:00:00,U223
H001063,O10341,2-Qualified,6-Closed Lost,2024-07-09 00:00:00,U223
H001064,O10342,,2-Qualified,2024-11-25 00:00:00,U208
H001065,O10342,2-Qualified,3-Proposal,2024-12-12 00:00:00,U208
H001066,O10342,3-Proposal,4-Negotiation,2025-01-02 00:00:00,U208
H001067,O10342,4-Negotiation,6-Closed Lost,2025-01-30 00:00:00,U208
H001068,O10343,,2-Qualified,2024-12-30 00:00:00,U210
H001069,O10343,2-Qualified,3-Proposal,2024-12-31 00:00:00,U210
H001070,O10343,3-Proposal,4-Negotiation,2025-01-02 00:00:00,U210
H001071,O10343,4-Negotiation,5-Closed Won,2025-01-05 00:00:00,U210
H001072,O10344,,2-Qualified,2025-12-06 00:00:00,U214
H001073,O10344,2-Qualified,3-Proposal,2025-12-25 00:00:00,U214
H001074,O10344,3-Proposal,4-Negotiation,2026-01-14 00:00:00,U214
H001075,O10344,4-Negotiation,5-Closed Won,2026-02-07 00:00:00,U214
H001076,O10345,,2-Qualified,2024-12-29 00:00:00,U217
H001077,O10345,2-Qualified,6-Closed Lost,2025-01-17 00:00:00,U217
H001078,O10346,,2-Qualified,2025-02-25 00:00:00,U211
H001079,O10346,2-Qualified,3-Proposal,2025-03-05 00:00:00,U211
H001080,O10346,3-Proposal,4-Negotiation,2025-03-13 00:00:00,U211
H001081,O10346,4-Negotiation,6-Closed Lost,2025-03-23 00:00:00,U211
H001082,O10348,,2-Qualified,2025-06-26 00:00:00,U206
H001083,O10348,2-Qualified,3-Proposal,2025-06-28 00:00:00,U206
H001084,O10348,3-Proposal,4-Negotiation,2025-07-01 00:00:00,U206
H001085,O10348,4-Negotiation,5-Closed Won,2025-07-02 00:00:00,U206
H001086,O10349,,2-Qualified,2025-03-19 00:00:00,U222
H001087,O10349,2-Qualified,3-Proposal,2025-03-31 00:00:00,U222
H001088,O10349,3-Proposal,4-Negotiation,2025-04-10 00:00:00,U222
H001089,O10349,4-Negotiation,5-Closed Won,2025-04-29 00:00:00,U222
H001090,O10350,,2-Qualified,2024-07-18 00:00:00,U200
H001091,O10350,2-Qualified,3-Proposal,2024-07-24 00:00:00,U200
H001092,O10350,3-Proposal,4-Negotiation,2024-08-01 00:00:00,U200
H001093,O10350,4-Negotiation,5-Closed Won,2024-08-06 00:00:00,U200
H001094,O10351,,2-Qualified,2026-01-30 00:00:00,U217
H001095,O10351,2-Qualified,3-Proposal,2026-02-07 00:00:00,U217
H001096,O10351,3-Proposal,4-Negotiation,2026-02-16 00:00:00,U217
H001097,O10351,4-Negotiation,5-Closed Won,2026-02-25 00:00:00,U217
H001098,O10353,,2-Qualified,2024-12-31 00:00:00,U215
H001099,O10353,2-Qualified,6-Closed Lost,2025-01-03 00:00:00,U215
H001100,O10354,,2-Qualified,2024-02-03 00:00:00,U216
H001101,O10354,2-Qualified,3-Proposal,2024-02-27 00:00:00,U216
H001102,O10354,3-Proposal,4-Negotiation,2024-03-29 00:00:00,U216
H001103,O10354,4-Negotiation,5-Closed Won,2024-05-01 00:00:00,U216
H001104,O10355,,2-Qualified,2025-12-01 00:00:00,U217
H001105,O10355,2-Qualified,3-Proposal,2025-12-11 00:00:00,U217
H001106,O10355,3-Proposal,4-Negotiation,2025-12-19 00:00:00,U217
H001107,O10355,4-Negotiation,5-Closed Won,2025-12-31 00:00:00,U217
H001108,O10356,,2-Qualified,2024-02-07 00:00:00,U212
H001109,O10356,2-Qualified,3-Proposal,2024-02-28 00:00:00,U212
H001110,O10356,3-Proposal,4-Negotiation,2024-04-05 00:00:00,U212
H001111,O10356,4-Negotiation,6-Closed Lost,2024-05-12 00:00:00,U212
H001112,O10357,,2-Qualified,2025-09-26 00:00:00,U220
H001113,O10357,2-Qualified,3-Proposal,2025-11-11 00:00:00,U220
H001114,O10357,3-Proposal,4-Negotiation,2025-12-24 00:00:00,U220
H001115,O10357,4-Negotiation,6-Closed Lost,2026-01-25 00:00:00,U220
H001116,O10358,,2-Qualified,2024-12-16 00:00:00,U213
H001117,O10358,2-Qualified,3-Proposal,2024-12-26 00:00:00,U213
H001118,O10358,3-Proposal,4-Negotiation,2025-01-12 00:00:00,U213
H001119,O10358,4-Negotiation,5-Closed Won,2025-01-29 00:00:00,U213
H001120,O10359,,2-Qualified,2024-10-14 00:00:00,U206
H001121,O10359,2-Qualified,6-Closed Lost,2024-10-17 00:00:00,U206
H001122,O10360,,2-Qualified,2026-04-01 00:00:00,U222
H001123,O10360,2-Qualified,3-Proposal,2026-04-22 00:00:00,U222
H001124,O10360,3-Proposal,4-Negotiation,2026-05-26 00:00:00,U222
H001125,O10360,4-Negotiation,5-Closed Won,2026-06-15 00:00:00,U222
H001126,O10361,,2-Qualified,2024-05-06 00:00:00,U203
H001127,O10361,2-Qualified,3-Proposal,2024-06-02 00:00:00,U203
H001128,O10361,3-Proposal,4-Negotiation,2024-06-30 00:00:00,U203
H001129,O10361,4-Negotiation,5-Closed Won,2024-07-19 00:00:00,U203
H001130,O10362,,2-Qualified,2024-08-11 00:00:00,U223
H001131,O10362,2-Qualified,3-Proposal,2024-09-08 00:00:00,U223
H001132,O10362,3-Proposal,4-Negotiation,2024-10-28 00:00:00,U223
H001133,O10362,4-Negotiation,5-Closed Won,2024-11-29 00:00:00,U223
H001134,O10363,,2-Qualified,2025-10-08 00:00:00,U217
H001135,O10363,2-Qualified,3-Proposal,2025-10-29 00:00:00,U217
H001136,O10363,3-Proposal,4-Negotiation,2025-11-16 00:00:00,U217
H001137,O10363,4-Negotiation,5-Closed Won,2025-11-30 00:00:00,U217
H001138,O10364,,2-Qualified,2024-02-28 00:00:00,U207
H001139,O10364,2-Qualified,3-Proposal,2024-03-07 00:00:00,U207
H001140,O10364,3-Proposal,4-Negotiation,2024-03-19 00:00:00,U207
H001141,O10364,4-Negotiation,5-Closed Won,2024-03-27 00:00:00,U207
H001142,O10365,,2-Qualified,2026-01-21 00:00:00,U209
H001143,O10365,2-Qualified,3-Proposal,2026-01-24 00:00:00,U209
H001144,O10365,3-Proposal,4-Negotiation,2026-01-26 00:00:00,U209
